Tamanho	MS	QS
766000	0,298441	0,265385
767000	0,299758	0,26715
768000	0,299304	0,267331
769000	0,301547	0,268062
770000	0,301315	0,266369
771000	0,301009	0,268971
772000	0,303411	0,266969
773000	0,302739	0,267862
774000	0,301845	0,272558
775000	0,303471	0,26829
776000	0,302641	0,273176
777000	0,300832	0,270182
778000	0,303988	0,270179
779000	0,302368	0,269111
780000	0,303068	0,270297
781000	0,304173	0,271388
782000	0,303645	0,271285
783000	0,305717	0,277178
784000	0,305517	0,2722
785000	0,305368	0,271398
786000	0,305126	0,27467
787000	0,305028	0,274748
788000	0,306908	0,272305
789000	0,307682	0,273655
790000	0,307834	0,277618
791000	0,309511	0,275357
792000	0,310727	0,276873
793000	0,311617	0,277292
794000	0,311093	0,277835
795000	0,310216	0,277948
796000	0,311223	0,276311
797000	0,313016	0,276471
798000	0,313278	0,278774
799000	0,313837	0,279032
800000	0,313387	0,279223
801000	0,313346	0,281128
802000	0,31395	0,278784
803000	0,314875	0,279317
804000	0,316616	0,279136
805000	0,316295	0,279398
806000	0,317002	0,283254
807000	0,317707	0,281959
808000	0,318409	0,280584
809000	0,317514	0,282406
810000	0,317756	0,282458
811000	0,319812	0,28505
812000	0,320178	0,283472
813000	0,319117	0,284769
814000	0,320999	0,283875
815000	0,321762	0,284877
816000	0,322032	0,284902
817000	0,321766	0,287488
818000	0,322065	0,285884
819000	0,322254	0,28645
820000	0,324628	0,285593
821000	0,322157	0,292276
822000	0,327562	0,286716
823000	0,324199	0,290356
824000	0,326675	0,288416
825000	0,326036	0,290147
826000	0,326802	0,291936
827000	0,326275	0,29219
828000	0,328688	0,291209
829000	0,327544	0,291159
830000	0,328288	0,292623
831000	0,328586	0,292969
832000	0,330446	0,291001
833000	0,329447	0,29159
834000	0,330715	0,292498
835000	0,329556	0,292117
836000	0,330422	0,292887
837000	0,345185	0,295527
838000	0,331208	0,295301
839000	0,332399	0,295212
840000	0,333033	0,294877
841000	0,334994	0,297789
842000	0,334366	0,295013
843000	0,334388	0,295308
844000	0,334557	0,29807
845000	0,334031	0,29713
846000	0,333803	0,298061
847000	0,336316	0,297289
848000	0,335819	0,29816
849000	0,336656	0,297964
850000	0,335967	0,299731
851000	0,337672	0,30443
852000	0,337118	0,299574
853000	0,338298	0,301085
854000	0,338392	0,301921
855000	0,33922	0,301206
856000	0,338972	0,301438
857000	0,339303	0,304497
858000	0,340473	0,301309
859000	0,341607	0,301289
860000	0,341137	0,304524
861000	0,341973	0,303349
862000	0,341785	0,304591
863000	0,343553	0,306088
864000	0,342237	0,304725
865000	0,342737	0,304094
866000	0,345687	0,30421
867000	0,343681	0,305081
868000	0,34387	0,30616
869000	0,345602	0,307051
870000	0,345745	0,30679
871000	0,34563	0,306443
872000	0,344735	0,306458
873000	0,348228	0,308865
874000	0,346253	0,307711
875000	0,346921	0,309153
876000	0,348472	0,30829
877000	0,348349	0,308852
878000	0,348433	0,308103
879000	0,349593	0,309427
880000	0,349462	0,313168
881000	0,348791	0,313377
882000	0,351262	0,311144
883000	0,349638	0,310548
884000	0,350445	0,312097
885000	0,350414	0,311229
886000	0,35183	0,311283
887000	0,351676	0,316448
888000	0,351053	0,312844
889000	0,351233	0,313673
890000	0,352003	0,315089
891000	0,353939	0,317702
892000	0,353993	0,31475
893000	0,353865	0,315276
894000	0,352214	0,32508
895000	0,353471	0,316339
896000	0,354185	0,314473
897000	0,357406	0,317495
898000	0,35785	0,31701
899000	0,355746	0,319553
900000	0,356572	0,316665
901000	0,362632	0,317931
902000	0,355607	0,321335
903000	0,356436	0,322643
904000	0,358662	0,322551
905000	0,35739	0,321885
906000	0,358116	0,321119
907000	0,358976	0,320333
908000	0,36096	0,320678
909000	0,359943	0,32014
910000	0,357942	0,320535
911000	0,361053	0,321278
912000	0,360958	0,322616
913000	0,361073	0,323744
914000	0,361504	0,322071
915000	0,361478	0,322383
916000	0,362992	0,323063
917000	0,362519	0,324547
918000	0,369098	0,340831
919000	0,363302	0,323891
920000	0,363502	0,327066
921000	0,365032	0,327482
922000	0,366619	0,324875
923000	0,36425	0,329347
924000	0,364722	0,325947
925000	0,367493	0,326809
926000	0,366325	0,327434
927000	0,365428	0,328322
